UID,Treatment,ndvi_Kharif_target,dist_closest_lin,dist_closest_river,dist_closest_upstream_forest,elevation,slope,proximity_water,HSG_3,HSG_4,HSG_13,HSG_14,CEC,pH,OC,flow_accumulation,precip_targetyr_Kharif,frequency,lat,lon,geometry,check_dam,distance_to_canal,mean_stream_order
19058.0,0.0,0.1370522684920274,5986.326615925585,63.37463017731915,348.6775396072809,178.21303425956924,8.181945432577397,120.44868035190618,0.0,0.0,1.0,0.0,6.0,6.300000190734863,0.5299999713897705,3.0,453.8514503492332,0.0,24.4079898375189,84.81304516145424,POINT (84.81304516145424 24.4079898375189),0.0,0.003194030285557244,6.0
17929.0,0.0,0.2364686724910704,7276.378548617154,391.411045899589,103.00486777200877,188.79049531459165,2.0246224652598444,36.28739002932552,0.0,0.0,1.0,0.0,6.0,6.300000190734863,0.5299999713897705,6.0,740.164398082453,0.0,24.375919981875835,84.81412313979519,POINT (84.81412313979519 24.375919981875835),0.0,0.018836243031355483,1.0808352284473848
19896.0,0.0,0.2846440467732222,6404.87748754753,2783.702661812418,114.66770693580654,199.57517580087057,3.482827560984671,39.10850439882699,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,676.6876189669182,6.0,24.379153916898662,84.83918613622212,POINT (84.83918613622212 24.379153916898662),0.0,0.0010853428092562592,1.4590180878552979
1494.0,1.0,0.2135962612690028,2974.553891677236,795.7534381199482,164.45305466892796,505.8917154434938,2.156999743438314,17.733137829912025,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,8.0,497.77523060365024,5.0,23.380565081170698,82.8522736143385,POINT (82.8522736143385 23.380565081170698),0.0,0.21906412793688784,1.7966225372667566
963.0,1.0,0.3159172204955623,965.9965811722244,567.8667691473187,0.0,360.97569364824585,2.987574735849009,7.645161290322582,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,728.0412272972885,16.0,21.11434290738422,80.50444097307185,POINT (80.50444097307185 21.11434290738422),0.0006716419172904471,0.271636160110419,3.0
86.0,1.0,0.2159845574030295,0.0,1519.4375538213817,94.78863076067918,1006.0392223352547,8.061747732897645,0.1642228739002932,0.0,1.0,0.0,0.0,0.0,7.599999904632568,1.399999976158142,1.0,603.1403978669421,0.0,22.90861382567399,83.36821390172746,POINT (83.36821390172746 22.90861382567399),0.0,0.17674053008345547,1.0
17807.0,0.0,0.1988398391710416,7824.374490247463,420.8975441103172,181.9268419766693,185.26271753681388,2.27143786090897,39.12903225806452,0.0,0.0,1.0,0.0,6.0,6.300000190734863,0.5299999713897705,37.0,453.8514503492332,0.0,24.38400481943291,84.81627909647707,POINT (84.81627909647707 24.38400481943291),0.0,0.014349579780000092,1.2514728682170546
19979.0,0.0,0.2371501159531968,242.4871070187289,112.2123228894589,85.20156119622126,251.2252624525353,2.7682910360460817,2.0293255131964814,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,447.3571089944874,0.0,24.2929156496232,84.584244258589,POINT (84.584244258589 24.2929156496232),0.0,0.22255305356352845,3.881129733085039
19548.0,0.0,0.2427204203524442,3444.0893399904617,1285.54855637851,78.53735084987031,196.4777852199152,2.497493658328753,17.762463343108507,0.0,0.0,1.0,0.0,6.0,6.300000190734863,0.5299999713897705,17.0,557.6515270906718,0.0,24.34115518038041,84.784209240834,POINT (84.784209240834 24.34115518038041),0.0,0.04486648385187861,3.0
18057.0,0.0,0.1817315604789012,7534.205752778146,888.6374917887211,85.1680646907282,189.46423390246625,1.742617469389462,19.225806451612907,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,4.0,453.8514503492332,0.0,24.394784602842343,84.82086050442608,POINT (84.82086050442608 24.394784602842343),0.0,0.013997751106956637,1.0
18746.0,0.0,0.2528498070301793,7009.663249113098,1025.5736568362197,354.3937771782588,193.02778707733512,2.5401939984185264,53.35483870967742,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,177.0,453.8514503492332,0.0,24.377267454802016,84.80010942136292,POINT (84.80010942136292 24.377267454802016),0.0,0.009098324221205429,1.266356589147287
28.0,1.0,0.1588768912539808,488.2715867168799,502.9515398661868,47.8698884710316,610.688389428507,2.322625148375794,1.4721407624633431,1.0,0.0,0.0,0.0,0.0,7.599999904632568,1.399999976158142,509.0,603.1403978669421,0.0,22.94109837684834,83.24622181510728,POINT (83.24622181510728 22.94109837684834),0.0,0.05501754066537247,1.7969060311487404
21057.0,0.0,0.2560935515342547,1584.445144950875,1466.1456627312166,198.2205930934174,272.7151630192051,2.481855412821197,8.530791788856305,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,4.0,453.8514503492332,0.0,24.291298682111776,84.62035653301061,POINT (84.62035653301061 24.291298682111776),0.0,0.19357742599327973,1.0
971.0,1.0,0.3147580433890543,1428.0194739929238,800.0142481722286,48.1726195320849,369.0949541284404,2.8798197283862383,11.527859237536658,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,3.0,728.0412272972885,16.0,21.113714174135684,80.49972770325836,POINT (80.49972770325836 21.113714174135684),0.0,0.2744667913571145,2.456277789540546
